theta_bar,x_c,y_c,vx_c,vy_c,t_bar,nx_s,ny_s,nz_s,lam_x,lam_y,lam_vx,lam_vy,lam_t_bar
1.524999999999999967e-02,-1.565169731215420301e-01,9.882092761184867458e-01,-9.873984063811108713e-01,-1.562108291420425954e-01,1.525351947486483506e-02,9.768193081843026260e-01,2.080177155837814873e-01,-5.052394641796408015e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.343839309005995020e+00,3.806381452723387460e-01,0.000000000000000000e+00
1.549999999999999989e-02,-3.091881014690300300e-01,9.515831297817073375e-01,-9.507814070782699689e-01,-3.087608279254667742e-01,1.550373756570414333e-02,9.716579406511103301e-01,2.144837184234901772e-01,-9.938601964500037855e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.259570441705196497e+00,7.356609661086277452e-01,0.000000000000000000e+00
1.575000000000000011e-02,-4.542525600226272608e-01,8.915208464530164356e-01,-8.907515273149392288e-01,-4.537029617572735929e-01,1.575396644622868367e-02,9.640584641019883660e-01,2.200873322544169286e-01,-1.488383148737216499e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.119634124020385535e+00,1.072685265071659622e+00,0.000000000000000000e+00
1.600000000000000033e-02,-5.881366439699671211e-01,8.095006435268552458e-01,-8.087872747550240993e-01,-5.874684268295211620e-01,1.600420476057598518e-02,9.537305604089174604e-01,2.254520852578588697e-01,-1.989205253234955506e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.927723511715294213e+00,1.382884192428158299e+00,0.000000000000000000e+00
1.625000000000000056e-02,-7.075418953673969780e-01,7.075418953673966449e-01,-7.069072001246132775e-01,-7.067636740072676949e-01,1.625445109670660068e-02,9.403275194022212569e-01,2.312151679615183641e-01,-2.496471557206133285e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.688963051753850531e+00,1.658193119636246715e+00,0.000000000000000000e+00
1.650000000000000078e-02,-8.095264470029112092e-01,5.881553912926914540e-01,-5.876201839378385472e-01,-8.086514902173715935e-01,1.650470400755251962e-02,9.234480814996131048e-01,2.380457289473289495e-01,-3.009615784524971582e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.409743530683939206e+00,1.891550141117992023e+00,0.000000000000000000e+00
1.675000000000000100e-02,-8.915775725351248182e-01,4.542814634051108857e-01,-4.538636550844870610e-01,-8.906233035414778954e-01,1.675496202961479497e-02,9.026460027346907555e-01,2.466667662614424605e-01,-3.526835694630633955e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.097514867296007335e+00,2.077097854954685019e+00,0.000000000000000000e+00
1.700000000000000122e-02,-9.516736504197903512e-01,3.092175134072580600e-01,-3.089312631410999765e-01,-9.506609334089900498e-01,1.700522369897639746e-02,8.774499590720812314e-01,2.578803467704056662e-01,-4.044493739319896530e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.605466338155819628e-01,2.210338724719609793e+00,0.000000000000000000e+00
1.725000000000000144e-02,-9.883340117540122538e-01,1.565367293053626374e-01,-1.563917853559286808e-01,-9.872862674103998204e-01,1.725548756501293565e-02,8.473961349347923777e-01,2.725962451180957702e-01,-4.556435861998832659e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.076676827461587771e-01,2.288239093762028276e+00,0.000000000000000000e+00
1.750000000000000167e-02,-1.000655442321904731e+00,-1.164796396607148662e-15,-1.264397857413033463e-06,-9.995976435157272189e-01,1.750575220225900758e-02,8.120748747595494255e-01,2.918645802979079606e-01,-5.053211499153664743e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799684703483743375e-02,2.309279951330945657e+00,0.000000000000000000e+00
1.775000000000000189e-02,-9.883344392119243205e-01,-1.565367970080453752e-01,1.563894610960606391e-01,-9.872920436079408724e-01,1.775601622111807817e-02,7.711912865482950519e-01,3.169136091044184589e-01,-5.521139048388450377e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.093235757210611725e-01,2.273455532761968989e+00,0.000000000000000000e+00
1.800000000000000211e-02,-9.516746742524886393e-01,-3.092178460706698773e-01,3.089295583817135427e-01,-9.506725530618126419e-01,1.800627827822467997e-02,7.246383543259928839e-01,3.491939322557722214e-01,-5.941067691210629720e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.553808853926498257e-01,2.182223585404055477e+00,0.000000000000000000e+00
1.824999999999999886e-02,-8.915794815762492220e-01,-4.542824361101464592e-01,4.538630031569813594e-01,-8.906409030271255078e-01,1.825653708734680664e-02,6.725811870913479540e-01,3.904276428571360480e-01,-6.286499840641162073e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.817226183692462360e-01,2.038413399580798924e+00,0.000000000000000000e+00
1.849999999999999908e-02,-8.095295560247158795e-01,-5.881576501292536951e-01,5.876210511871774456e-01,-8.086752782970462183e-01,1.850679143165171944e-02,6.155542035386685207e-01,4.426478331510557140e-01,-6.520398134412886959e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.280557994080229411e+00,1.846099352781128911e+00,0.000000000000000000e+00
1.874999999999999931e-02,-7.075464140404177371e-01,-7.075464140404179592e-01,7.069101044197946271e-01,-7.067939352479724047e-01,1.875704017803225127e-02,5.545814311628729509e-01,5.081673244188166239e-01,-6.589426428774819433e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.544925857225913024e+00,1.610448633530757734e+00,0.000000000000000000e+00
1.899999999999999953e-02,-5.881425203035146598e-01,-8.095087316061096994e-01,8.087928094584491134e-01,-5.875055227838966720e-01,1.900728229384686385e-02,4.913461098432468366e-01,5.892677409056598092e-01,-6.413599066591612052e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.768827320965024485e+00,1.337551972185023308e+00,0.000000000000000000e+00
1.924999999999999975e-02,-4.542593131939838824e-01,-8.915341002980716745e-01,8.907603915553309326e-01,-4.537473260570448752e-01,1.925751686609587440e-02,4.284595747744094352e-01,6.869701607246125885e-01,-5.869364455016677917e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.947323632105744551e+00,1.034245655774094885e+00,0.000000000000000000e+00
