vx,vy,vz
-1.114403610745574952e+03,1.931912137217550026e+03,3.862970042801096952e+03
-1.704925597237594729e+03,1.559284635670074067e+03,3.815435832275222765e+03
-2.253451216768864469e+03,1.148278529249111898e+03,3.673963793784457721e+03
-2.746474571458594710e+03,7.090146207065740782e+02,3.442038680790988110e+03
-3.171856606423258199e+03,2.523094005036705596e+02,3.125372499079553563e+03
-3.519124011223158504e+03,-2.105913117644797126e+02,2.731763825140337758e+03
-3.779727096566484761e+03,-6.682892958217639716e+02,2.270905741266327823e+03
-3.947250294587247936e+03,-1.109514607776821549e+03,1.754147118542944554e+03
-4.017570098551620504e+03,-1.523403092142184732e+03,1.194213128617189341e+03
-3.988956553317536418e+03,-1.899763893230080612e+03,6.048918699202795324e+02
-3.862115799300809613e+03,-2.229330377268262509e+03,6.948286493486405258e-01
-3.640172625596840589e+03,-2.503988285936094144e+03,-6.035004609765771875e+02
-3.328593466233408435e+03,-2.716975503862480309e+03,-1.192816755164676124e+03
-2.935051740846653047e+03,-2.863048522788181344e+03,-1.752743415187317396e+03
-2.469238860933691285e+03,-2.938611506352333436e+03,-2.269493677948160894e+03
-1.942625560449026125e+03,-2.941804781309597274e+03,-2.730344086574556513e+03
-1.368179431690649608e+03,-2.872550580760434059e+03,-3.123947726361192053e+03
-7.600456243538519630e+02,-2.732554917783353631e+03,-3.440613557949389815e+03
-1.331985706473662106e+02,-2.525265547930110188e+03,-3.672544975966769471e+03
4.969266895166192057e+02,-2.255787059448799937e+03,-3.814031726113089917e+03
1.114814509567255982e+03,-1.930755184484234633e+03,-3.861590462519084667e+03
1.705250613525584185e+03,-1.558173426575440772e+03,-3.814050490995315613e+03
2.253696652961524705e+03,-1.147216025225986641e+03,-3.672582591727620184e+03
2.746648131017326250e+03,-7.080021044078570185e+02,-3.440670213329839044e+03
3.171966889978675681e+03,-2.513465588939766349e+02,-3.124023745025631797e+03
3.519179982653276056e+03,2.115061964722974324e+02,-2.730439970758970503e+03
3.779737571009336989e+03,6.691590675266716062e+02,-2.269610154842565407e+03
3.947223498485575874e+03,1.110342901698325704e+03,-1.752881471555905591e+03
4.017513341827567729e+03,1.524193982530963240e+03,-1.192977640269143649e+03
3.988876036939964706e+03,1.900521564121298525e+03,-6.036856343550555266e+02
3.862016557870808811e+03,2.230058857750307197e+03,4.838376732069293862e-01
3.640058553148713145e+03,2.504691305838798144e+03,6.046537804685839319e+02
3.328467291433434639e+03,2.717656482093390878e+03,1.193947493093122830e+03
2.934914956063920727e+03,2.863710514871340820e+03,1.753854862408766394e+03
2.469091769393328832e+03,2.939257060386530611e+03,2.270589394010104115e+03
1.942467471712343240e+03,2.942435819861687378e+03,2.731427553264692051e+03
1.368008965991636842e+03,2.873168369508401611e+03,3.125022037108962195e+03
7.598610756843620493e+02,2.733160132448690547e+03,3.441681203783394722e+03
1.329982721088028086e+02,2.525858427169971037e+03,3.673607758449296853e+03
-4.971440541062652869e+02,2.256367615490873050e+03,3.815090803432719895e+03
-1.115049694350293521e+03,1.931323433370008388e+03,3.862646511844439374e+03
-1.705503729080017365e+03,1.558729596918868538e+03,3.815103951010689798e+03
-2.253967222351257988e+03,1.147760708368093219e+03,3.673633936405776240e+03
-2.746935268496877143e+03,7.085363190813975507e+02,3.441720203691819279e+03
-3.172269567371498397e+03,2.518717181526810407e+02,3.125073610225008906e+03
-3.519497334471554950e+03,-2.109884116237669787e+02,2.731491482768331934e+03
-3.780069183878507374e+03,-6.686469075002338514e+02,2.270665580051145298e+03
-3.947569634647153180e+03,-1.109834788229886499e+03,1.753943404467659093e+03
-4.017875059590883211e+03,-1.523688750356574019e+03,1.194048745302758562e+03
-3.989255190754681735e+03,-1.900018665727862526e+03,6.047683387806968085e+02
-3.862415686168716547e+03,-2.229558494025360687e+03,6.123631595986349652e-01
-3.640480713710786858e+03,-2.504194433355351521e+03,-6.035428699721820749e+02
-3.328915984354766806e+03,-2.717164693006634025e+03,-1.192821229994615123e+03
-2.935394132587556669e+03,-2.863225971439438126e+03,-1.752713068218546596e+03
-2.469605760373674002e+03,-2.938782542315082537e+03,-2.269432487656637022e+03
-1.943020798001529556e+03,-2.941974771723428148e+03,-2.730256786434305923e+03
-1.368606057629638372e+03,-2.872724888193563402e+03,-3.123839718609808187e+03
-7.605059334503346236e+02,-2.732738879074146553e+03,-3.440490860514431915e+03
-1.336941094770802181e+02,-2.525464466634924520e+03,-3.672414204808896557e+03
4.963951501153399022e+02,-2.256006198287928328e+03,-3.813900107747166203e+03
1.114247050249114864e+03,-1.930999741020676083e+03,-3.861465863138622353e+03
1.704648296207675230e+03,-1.558448474605412230e+03,-3.813941440941824567e+03
2.253061699973773102e+03,-1.147526406551329046e+03,-3.672498278298032801e+03
