nx,ny,nz
-5.090656034717159217e-01,-7.316950914133116823e-01,4.532929566667049381e-01
-4.960282457422355296e-01,-7.769791886269337144e-01,3.876329705617316823e-01
-4.750480867662760787e-01,-8.190213903084222480e-01,3.217658736985010703e-01
-4.464793542536825144e-01,-8.574265278578127036e-01,2.558826597308035966e-01
-4.105490063546400337e-01,-8.917866044325586383e-01,1.901740401207934750e-01
-3.673876105550406557e-01,-9.216457236486467197e-01,1.248819590285970837e-01
-3.170726472016244801e-01,-9.464793850891041194e-01,6.034658232166395520e-02
-2.596833910398854695e-01,-9.656892909440184525e-01,-2.954619106555207708e-03
-1.953650866902356675e-01,-9.786152112732386943e-01,-6.437974190031429955e-02
-1.243981417674172862e-01,-9.845651546381783970e-01,-1.231119758476546949e-01
-4.726556650516602898e-02,-9.828637799190200752e-01,-1.781705821572173720e-01
3.529061098523098711e-02,-9.729164977392650293e-01,-2.284470643345014595e-01
1.222348119409133738e-01,-9.542832404527143986e-01,-2.727675709112731828e-01
2.122356563067182011e-01,-9.267521522116968224e-01,-3.099781840114630982e-01
3.037029941840229119e-01,-8.904007048630629972e-01,-3.390443571319542992e-01
3.948648043245095440e-01,-8.456314063597375474e-01,-3.591508191328807165e-01
4.838763041428734701e-01,-7.931723100176555352e-01,-3.697856256133943420e-01
5.689458857871023678e-01,-7.340388070900797368e-01,-3.707932155955687703e-01
6.484579401817786026e-01,-6.694611573682444083e-01,-3.623866148057565129e-01
7.210730221380280414e-01,-6.007894325482906472e-01,-3.451170156382233900e-01
7.857910984698788237e-01,-5.293917044458689158e-01,-3.198073995851234419e-01
8.419719427203106177e-01,-4.565612857910775757e-01,-2.874631106569743855e-01
8.893153383021370484e-01,-3.834451032158712191e-01,-2.491748018566994072e-01
9.278102183342465947e-01,-3.109995153689202874e-01,-2.060279112034449356e-01
9.576650017023340400e-01,-2.399740468725033438e-01,-1.590289324057164444e-01
9.792312926570073683e-01,-1.709190702132729056e-01,-1.090538716356121152e-01
9.929307927265811351e-01,-1.042110582417112574e-01,-5.681985740483531250e-02
9.991919881157761418e-01,-4.008852016788914951e-02,-2.877748423878413991e-03
9.983999879309480852e-01,2.130746094809961647e-02,5.237801263343008773e-02
9.908604472616736603e-01,7.989274890641055726e-02,1.086863502219721778e-01
9.767770463965890215e-01,1.356029530226554869e-01,1.658868311961239350e-01
9.562414221013163518e-01,1.883616611708016919e-01,2.238799393840996688e-01
9.292344612995520059e-01,2.380557600294086751e-01,2.825823261461198332e-01
8.956380589490487987e-01,2.845195432398721080e-01,3.418787751185420887e-01
8.552563543736485530e-01,3.275297500683259089e-01,4.015729462048907572e-01
8.078446776803086538e-01,3.668142609175180646e-01,4.613396522423939827e-01
7.531426848298762300e-01,4.020776831582963950e-01,5.206818923232323648e-01
6.909053756789594880e-01,4.330475382848715249e-01,5.788951471927612502e-01
